SNR,Power,OSR,Adc1_gm,GBW1,IIP3_Int1,Adc2_gm,GBW2,IIP3_Int2,IIP_FF
74.73,0.0010942,64,67.667,124430000.0,25.057,54.347,83815000.0,40.953,33.333
73.075,0.0010942,64,67.667,124430000.0,43.296,54.347,83815000.0,35.497,44.444
74.555,0.0010942,64,67.667,124430000.0,48.447,54.347,83815000.0,68.127,55.556
73.482,0.0010942,64,67.667,124430000.0,55.34,54.347,83815000.0,51.185,66.667
72.147,0.0010942,64,67.667,124430000.0,90.067,54.347,83815000.0,94.457,77.778
73.973,0.0010942,64,67.667,124430000.0,103.29,54.347,83815000.0,79.654,88.889
74.004,0.0010942,64,67.667,124430000.0,88.543,54.347,83815000.0,112.26,100.0
71.564,0.0015392,64,67.667,166540000.0,19.873,54.347,162840000.0,26.594,22.222
72.257,0.0015392,64,67.667,166540000.0,25.057,54.347,162840000.0,40.953,33.333
72.678,0.0015392,64,67.667,166540000.0,43.296,54.347,162840000.0,35.497,44.444
72.483,0.0015392,64,67.667,166540000.0,48.447,54.347,162840000.0,68.127,55.556
74.256,0.0015392,64,67.667,166540000.0,55.34,54.347,162840000.0,51.185,66.667
73.22,0.0015392,64,67.667,166540000.0,103.29,54.347,162840000.0,79.654,88.889
72.938,0.0015392,64,67.667,166540000.0,88.543,54.347,162840000.0,112.26,100.0
73.319,0.0015392,64,67.667,133630000.0,9.1732,54.347,187490000.0,11.588,11.111
74.268,0.0015392,64,67.667,133630000.0,19.873,54.347,187490000.0,26.594,22.222
74.594,0.0015392,64,67.667,133630000.0,25.057,54.347,187490000.0,40.953,33.333
74.601,0.0015392,64,67.667,133630000.0,43.296,54.347,187490000.0,35.497,44.444
74.068,0.0015392,64,67.667,133630000.0,48.447,54.347,187490000.0,68.127,55.556
75.427,0.0015392,64,67.667,133630000.0,55.34,54.347,187490000.0,51.185,66.667
74.409,0.0015392,64,67.667,133630000.0,90.067,54.347,187490000.0,94.457,77.778
73.514,0.0015392,64,67.667,133630000.0,103.29,54.347,187490000.0,79.654,88.889
74.075,0.0015392,64,67.667,133630000.0,88.543,54.347,187490000.0,112.26,100.0
73.996,0.0015392,64,67.667,218490000.0,0.0,54.347,196090000.0,0.0,0.0
73.713,0.0015392,64,67.667,218490000.0,9.1732,54.347,196090000.0,11.588,11.111
73.681,0.0015392,64,67.667,218490000.0,19.873,54.347,196090000.0,26.594,22.222
73.37,0.0015392,64,67.667,218490000.0,25.057,54.347,196090000.0,40.953,33.333
74.508,0.0015392,64,67.667,218490000.0,43.296,54.347,196090000.0,35.497,44.444
74.73,0.0015392,64,67.667,218490000.0,48.447,54.347,196090000.0,68.127,55.556
73.459,0.0015392,64,67.667,218490000.0,55.34,54.347,196090000.0,51.185,66.667
72.621,0.0015392,64,67.667,218490000.0,90.067,54.347,196090000.0,94.457,77.778
75.444,0.0015392,64,67.667,218490000.0,103.29,54.347,196090000.0,79.654,88.889
74.054,0.0015392,64,67.667,218490000.0,88.543,54.347,196090000.0,112.26,100.0
74.722,0.0015392,64,67.667,326870000.0,0.0,54.347,306330000.0,0.0,0.0
73.902,0.0015392,64,67.667,326870000.0,9.1732,54.347,306330000.0,11.588,11.111
74.265,0.0015392,64,67.667,326870000.0,19.873,54.347,306330000.0,26.594,22.222
74.535,0.0015392,64,67.667,326870000.0,25.057,54.347,306330000.0,40.953,33.333
73.399,0.0015392,64,67.667,326870000.0,43.296,54.347,306330000.0,35.497,44.444
74.024,0.0015392,64,67.667,326870000.0,48.447,54.347,306330000.0,68.127,55.556
75.582,0.0015392,64,67.667,326870000.0,55.34,54.347,306330000.0,51.185,66.667
74.789,0.0015392,64,67.667,326870000.0,90.067,54.347,306330000.0,94.457,77.778
